"region_name","pop","rural_pop","urban_pop","no_toilet_pop","shared_toilet_pop","private_toilet_pop","agg_dep_pop","radio_pop","television_pop","computer_pop","cellphone_pop","landphone_pop","internet_pop"
" caprivi",88520,60820,27700,68900,17635,1985,15930,64415,37395,7470,63575,2915,6820
" erongo",145137,18557,126580,15431,85368,44338,12225,124756,109677,40843,133058,25631,35643
" hardap",76953,30338,46615,24548,46251,6154,14615,60956,49270,13726,63075,12812,10415
" karas",74053,33945,40108,16400,44873,12780,16405,61378,49448,17998,65638,14573,16223
" kavango",219304,156550,62754,169824,44400,5080,47237,151691,62281,17333,144686,11010,18833
" khomas",336515,15580,320935,57810,195290,83415,8595,282110,249870,145710,318500,88055,137225
" kunene",84870,62835,22035,57925,21195,5750,24140,52520,24395,6890,55980,5315,7515
" ohangwena",243457,219605,23852,197360,41767,4330,35367,201099,45140,15490,206713,14323,25388
" omaheke",70620,49660,20960,44040,20610,5970,16473,54965,27219,8866,53668,7404,9532
" omusati",239518,227595,11923,189854,47496,2168,33257,188469,39204,14524,204225,11040,22270
" oshana",167650,94400,73250,78295,81580,7775,17665,148795,66660,28860,151455,19605,35075
" oshikoto",180349,157419,22930,125020,47124,8205,31660,142529,44139,17644,151694,15419,20674
" otjozondjupa",138479,65194,73285,57794,64890,15795,27125,107039,79534,25374,117879,17459,25054
