"region_prev_name","pop","rural_pop","urban_pop","no_toilet_pop","shared_toilet_pop","private_toilet_pop","agg_dep_pop","radio_pop","television_pop","computer_pop","cellphone_pop","landphone_pop","internet_pop"
"caprivi",97176.0000007153,67860.8061418533,29315.1938588619,76011.326523304,16047.2250983715,5117.44837903977,8875.58199644088,45728.6725142002,42104.2915999889,8942.17268276215,85613.2302610874,964.627489089967,6490.18084144592
"erongo",175852.999941826,18103.3998527527,157749.600089073,17317.9407463074,95264.4841442108,63270.5750513077,21112.7218427658,64480.1318702698,133545.355272293,46305.4225354195,172429.293471336,10521.9212985039,29236.2700943947
"hardap",85628.9996513128,18414.8363164663,67214.1633348465,19084.1411087513,61731.1898177862,4813.66872477531,8750.71018981933,30405.8471795321,61863.1132078171,22000.1826486588,80647.342061162,10976.0077662468,13433.5487494469
"karaso",84077.00009799,26476.243773222,57600.7563247681,12234.4104332924,52238.4459660053,19604.1436986923,13258.9619336128,27889.593739748,62880.4367237091,21222.4740018845,82572.2693209648,13092.490937233,23296.4390935898
"kavango",234855.999846578,170755.772760034,64100.227086544,173118.808537245,44492.7065746784,17244.4847346544,12378.5863125324,108329.155088544,55271.4229180813,19586.4097623825,200539.270156384,2878.92762088776,5397.98487138748
"khomas",400190.998872757,15655.695142746,384535.303730011,85743.1222820282,189334.810926914,125113.065663815,9848.30370330811,149265.525335312,272016.475460052,160588.913116455,391754.741348267,47015.3583316803,68972.6395759582
"kunene",95610.0001256466,55126.8184602261,40483.1816654205,54530.0795118809,30000.5759978294,11079.3446159363,6581.22518849373,29737.1573393345,30506.6634438038,8602.41484260559,81974.0827224255,3241.86384582519,3130.1654176712
"ohangwena",253347.999637842,228778.357318163,24569.6423196793,194496.545669556,46877.1094267368,11974.3445415497,3313.04321289063,178366.920665979,33419.0636024475,12302.8000016212,244290.562975168,854.723060607909,12652.6315336227
"omaheke",74040.0000424385,37491.0045354366,36548.9955070019,41631.5322682857,24868.3296039104,7540.13817024231,8986.99579596519,35916.2596583366,31977.0663738251,8581.89097833633,65872.5443067551,2894.66894769669,4234.11315155029
"omusati",248490.000630379,236851.199132919,11638.8014974594,195067.553888321,45581.5674190521,7840.87932300568,6258.34300994873,148724.16850996,24615.8235282898,12533.045399189,237560.608664513,139.728565216064,8071.36326217652
"oshana",186633.999554634,106638.146244049,79995.853310585,75060.3921608925,94237.7124714852,17335.8949222565,2012.71423721313,125090.085390091,58756.4431548119,33669.0361976624,184117.023468018,3439.76974868774,9462.6871676445
"oshikoto",192468.999773264,170030.29304266,22438.7067306042,125811.392678738,56047.9992892742,10609.6078052521,6408.22441673279,133104.327263355,36872.4533941746,15070.5695774555,185706.014679193,1737.12907600403,6582.87205076218
"otjozondjupa",152342.999743462,56731.8527021408,92434.5731220246,58169.2653517723,75692.017141819,18481.7172498703,20943.7566952705,54740.6155426502,92069.7129092216,23770.7275314331,142326.426437855,7391.29039287567,22501.4710683823
